date,deaths
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,3
2020-03-02,6
2020-03-03,10
2020-03-04,12
2020-03-05,12
2020-03-06,15
2020-03-07,19
2020-03-08,22
2020-03-09,26
2020-03-10,31
2020-03-11,37
2020-03-12,43
2020-03-13,50
2020-03-14,60
2020-03-15,68
2020-03-16,91
2020-03-17,117
2020-03-18,162
2020-03-19,212
2020-03-20,275
2020-03-21,358
2020-03-22,455
2020-03-23,574
2020-03-24,784
2020-03-25,1049
2020-03-26,1349
2020-03-27,1761
2020-03-28,2291
2020-03-29,2628
2020-03-30,3191
2020-03-31,4010
2020-04-01,5025
2020-04-02,6092
2020-04-03,7917
2020-04-04,9470
2020-04-05,10832
2020-04-06,13080
2020-04-07,14582
2020-04-08,16653
2020-04-09,18779
2020-04-10,21032
2020-04-11,23109
2020-04-12,24787
2020-04-13,26549
2020-04-14,29247
2020-04-15,31995
2020-04-16,34352
2020-04-17,36618
2020-04-18,38571
2020-04-19,40089
2020-04-20,41919
2020-04-21,44587
2020-04-22,46896
2020-04-23,49066
2020-04-24,51157
2020-04-25,53160
2020-04-26,54406
2020-04-27,55996
2020-04-28,58374
2020-04-29,60888
2020-04-30,63099
2020-05-01,64859
2020-05-02,66444
2020-05-03,67772
2020-05-04,68832
2020-05-05,71066
2020-05-06,74010
2020-05-07,75733
2020-05-08,77306
2020-05-09,78761
2020-05-10,79692
2020-05-11,80681
2020-05-12,82336
2020-05-13,84104
2020-05-14,85842
2020-05-15,87434
2020-05-16,88660
2020-05-17,89504
2020-05-18,90293
2020-05-19,91936
